#	profile	energy	nuELumNum	nuEBarLumNum	nuMuLumNum	nuMuBarLumNum	nuELumEnergy	nuEBarLumEnergy	nuMuLumEnergy	nuMuBarLumEnergy
19	1.54	1.0450363e+48	9.017251e+47	2.1083884e+47	2.05246e+47	1.6093559e+48	1.3886567e+48	3.2469181e+47	3.1607884e+47
19	1.56	9.6543207e+47	8.3299478e+47	1.9477475e+47	1.8960628e+47	1.506074e+48	1.2994719e+48	3.0384861e+47	2.957858e+47
19	1.58	8.9048158e+47	7.6797514e+47	1.7962294e+47	1.7484202e+47	1.4069609e+48	1.2134007e+48	2.8380424e+47	2.7625039e+47
19	1.6	8.2158103e+47	7.0926172e+47	1.6578657e+47	1.6140322e+47	1.3145296e+48	1.1348188e+48	2.6525852e+47	2.5824516e+47
19	1.62	7.5729216e+47	6.5346146e+47	1.527875e+47	1.4873543e+47	1.2268133e+48	1.0586076e+48	2.4751575e+47	2.4095139e+47
19	1.64	6.9823759e+47	6.0257806e+47	1.4087944e+47	1.3714625e+47	1.1451097e+48	9.8822802e+47	2.3104228e+47	2.2491985e+47
19	1.66	6.4155844e+47	5.5413182e+47	1.2948447e+47	1.2607258e+47	1.064987e+48	9.1985882e+47	2.1494422e+47	2.0928048e+47
19	1.68	5.9041098e+47	5.1016348e+47	1.1917975e+47	1.1604802e+47	9.9189045e+47	8.5707464e+47	2.0022198e+47	1.9496068e+47
19	1.7	5.4294515e+47	4.6959504e+47	1.096373e+47	1.0677475e+47	9.2300675e+47	7.9831157e+47	1.8638341e+47	1.8151708e+47
19	1.72	4.9882931e+47	4.3137539e+47	1.0072339e+47	9.8090945e+46	8.5798641e+47	7.4196567e+47	1.7324423e+47	1.6871643e+47
19	1.74	4.5838287e+47	3.9662629e+47	9.2576379e+46	9.0166278e+46	7.9758619e+47	6.9012974e+47	1.610829e+47	1.5688932e+47
19	1.76	4.2052324e+47	3.6426979e+47	8.4965287e+46	8.276995e+46	7.4012091e+47	6.4111483e+47	1.4953891e+47	1.4567511e+47
19	1.78	3.8642408e+47	3.3464263e+47	7.8067852e+46	7.6047039e+46	6.8783486e+47	5.9566387e+47	1.3896078e+47	1.3536373e+47
19	1.8	3.5415052e+47	3.0707274e+47	7.1580847e+46	6.9743599e+46	6.3747094e+47	5.5273094e+47	1.2884553e+47	1.2553848e+47
