#	profile	energy	nuELumNum	nuEBarLumNum	nuELumEnergy	nuEBarLumEnergy
19	2.37	2.7292268e+47	5.2557764e+45	6.4682675e+47	1.245619e+46
19	2.38	2.729146e+47	5.1485925e+45	6.4953675e+47	1.225365e+46
19	2.39	2.7288709e+47	5.0397293e+45	6.5220014e+47	1.2044953e+46
19	2.4	2.7284062e+47	4.9316709e+45	6.5481748e+47	1.183601e+46
19	2.41	2.7277387e+47	4.8222764e+45	6.5738503e+47	1.1621686e+46
19	2.42	2.7268748e+47	4.7117606e+45	6.5990369e+47	1.1402461e+46
19	2.43	2.7258157e+47	4.6001567e+45	6.6237322e+47	1.1178381e+46
19	2.44	2.7245622e+47	4.4881185e+45	6.6479318e+47	1.0951009e+46
19	2.45	2.7231144e+47	4.3769837e+45	6.6716302e+47	1.072361e+46
19	2.46	2.7214724e+47	4.2639544e+45	6.6948222e+47	1.0489328e+46
19	2.47	2.7196366e+47	4.1503197e+45	6.7175025e+47	1.025129e+46
19	2.48	2.7176069e+47	4.0354666e+45	6.7396651e+47	1.0007957e+46
19	2.49	2.7153832e+47	3.9219141e+45	6.7613042e+47	9.765566e+45
19	2.5	2.7129655e+47	3.8065572e+45	6.7824139e+47	9.5163931e+45
19	2.51	2.7103541e+47	3.6907654e+45	6.8029887e+47	9.2638211e+45
19	2.52	2.7075487e+47	3.5741584e+45	6.8230228e+47	9.0068791e+45
19	2.53	2.7045497e+47	3.4570402e+45	6.8425107e+47	8.7463116e+45
19	2.54	2.701357e+47	3.3386975e+45	6.8614469e+47	8.4802917e+45
19	2.55	2.6979709e+47	3.2197113e+45	6.8798259e+47	8.2102638e+45
19	2.56	2.6943914e+47	3.1006244e+45	6.8976421e+47	7.9375986e+45
19	2.57	2.6906187e+47	2.9812884e+45	6.91489e+47	7.6619113e+45
19	2.58	2.6866529e+47	2.8604497e+45	6.9315645e+47	7.3799603e+45
19	2.59	2.6824943e+47	2.7385845e+45	6.9476602e+47	7.092934e+45
19	2.6	2.6781432e+47	2.6161681e+45	6.9631724e+47	6.8020372e+45
19	2.61	2.6735998e+47	2.4935985e+45	6.9780956e+47	6.5082922e+45
19	2.62	2.6688643e+47	2.3711665e+45	6.9924245e+47	6.2124562e+45
19	2.63	2.6639369e+47	2.2482444e+45	7.0061542e+47	5.9128829e+45
19	2.64	2.6588181e+47	2.1245192e+45	7.0192797e+47	5.6087307e+45
19	2.65	2.6535082e+47	2.0024907e+45	7.0317968e+47	5.3066003e+45
19	2.66	2.6480074e+47	1.884069e+45	7.0436998e+47	5.0116234e+45
19	2.67	2.6423162e+47	1.7647589e+45	7.0549844e+47	4.7119062e+45
19	2.68	2.636435e+47	1.6481067e+45	7.0656458e+47	4.4169259e+45
19	2.69	2.6303642e+47	1.5291279e+45	7.0756797e+47	4.1133541e+45
19	2.7	2.6241043e+47	1.4047236e+45	7.0850815e+47	3.7927536e+45
19	2.71	2.6176558e+47	1.2727746e+45	7.0938471e+47	3.4492192e+45
19	2.72	2.6110192e+47	1.1293736e+45	7.1019721e+47	3.0718963e+45
19	2.73	2.6041951e+47	9.6565865e+44	7.1094527e+47	2.6362481e+45
19	2.74	2.5971843e+47	7.4172981e+44	7.1162849e+47	2.0323397e+45
19	2.75	2.5899872e+47	5.3596234e+44	7.1224648e+47	1.4738964e+45
19	2.76	2.5826045e+47	3.9928994e+44	7.1279885e+47	1.1020402e+45
19	2.77	2.575037e+47	2.8708004e+44	7.1328524e+47	7.9521171e+44
19	2.78	2.5672854e+47	2.1776816e+44	7.1370534e+47	6.0539548e+44
19	2.79	2.5593505e+47	2.074416e+44	7.1405878e+47	5.7876207e+44
19	2.8	2.551233e+47	1.9512875e+44	7.1434523e+47	5.4636049e+44
19	2.81	2.5429337e+47	1.9079482e+44	7.1456436e+47	5.3613344e+44
19	2.82	2.5344537e+47	1.8845872e+44	7.1471594e+47	5.3145358e+44
19	2.83	2.5257937e+47	1.8602895e+44	7.1479961e+47	5.2646193e+44
19	2.84	2.5169534e+47	1.836993e+44	7.1481476e+47	5.21706e+44
